,id,movie,year,rating,genre,runtime,imdb,metascore,votes,review_quality
0,0,65,2023,PG-13,"['Action', ' Adventure', ' Drama']",93,55,40,31295,0
1,1,Avatar: The Way of Water,2022,PG-13,"['Action', ' Adventure', ' Fantasy']",192,77,67,357260,2
2,2,Super Mario Bros.,1993,PG,"['Adventure', ' Comedy', ' Family']",104,41,35,58495,0
3,3,Everything Everywhere All at Once,2022,R,"['Action', ' Adventure', ' Comedy']",139,79,81,428222,1
4,4,Ant-Man and the Wasp: Quantumania,2023,PG-13,"['Action', ' Adventure', ' Comedy']",124,64,48,101578,0
5,5,Infinity Pool,2023,R,"['Crime', ' Horror', ' Mystery']",117,61,72,25716,2
6,6,Nope,2022,R,"['Horror', ' Mystery', ' Sci-Fi']",130,68,77,217125,2
7,7,M3GAN,2022,PG-13,"['Horror', ' Sci-Fi', ' Thriller']",102,64,72,93869,2
8,8,Interstellar,2014,PG-13,"['Adventure', ' Drama', ' Sci-Fi']",169,86,74,1891332,1
9,9,Black Panther: Wakanda Forever,2022,PG-13,"['Action', ' Adventure', ' Drama']",161,67,67,256471,2
10,10,Blade Runner 2049,2017,R,"['Action', ' Drama', ' Mystery']",164,80,81,596742,1
11,11,Avatar,2009,PG-13,"['Action', ' Adventure', ' Fantasy']",162,79,83,1336303,1
12,12,Dune,2021,PG-13,"['Action', ' Adventure', ' Drama']",155,80,74,663694,1
13,13,Inception,2010,PG-13,"['Action', ' Adventure', ' Sci-Fi']",148,88,74,2397924,1
14,14,The Hunger Games,2012,PG-13,"['Action', ' Adventure', ' Sci-Fi']",142,72,68,941225,1
15,15,Super 8,2011,PG-13,"['Action', ' Mystery', ' Sci-Fi']",112,70,72,359339,2
16,16,Jurassic World: Dominion,2022,PG-13,"['Action', ' Adventure', ' Sci-Fi']",147,56,38,180301,0
17,17,Spider-Man: No Way Home,2021,PG-13,"['Action', ' Adventure', ' Fantasy']",148,82,71,786146,1
18,18,Black Adam,2022,PG-13,"['Action', ' Adventure', ' Fantasy']",125,63,41,240302,0
19,19,Star Wars: Episode IX - The Rise of Skywalker,2019,PG-13,"['Action', ' Adventure', ' Fantasy']",141,65,53,463849,2
20,20,Avengers: Endgame,2019,PG-13,"['Action', ' Adventure', ' Drama']",181,84,78,1167664,1
21,21,Star Wars: Episode IV - A New Hope,1977,PG,"['Action', ' Adventure', ' Fantasy']",121,86,90,1386049,1
22,22,Jurassic Park,1993,PG-13,"['Action', ' Adventure', ' Sci-Fi']",127,82,68,1008197,1
23,23,The Matrix,1999,R,"['Action', ' Sci-Fi']",136,87,73,1946660,1
24,24,Thor: Love and Thunder,2022,PG-13,"['Action', ' Adventure', ' Comedy']",118,62,57,356646,2
25,25,Guardians of the Galaxy,2014,PG-13,"['Action', ' Adventure', ' Comedy']",121,80,76,1200169,1
26,26,Back to the Future,1985,PG,"['Adventure', ' Comedy', ' Sci-Fi']",116,85,87,1230213,1
27,27,Spider-Man: Into the Spider-Verse,2018,PG,"['Animation', ' Action', ' Adventure']",117,84,87,554542,1
28,28,The Thing,2011,R,"['Horror', ' Mystery', ' Sci-Fi']",103,62,49,138028,0
